area_sqft,bedroom,bathroom,parking,price,Cluster
14032.25,0,0,0,2600000,1
5476.0,0,0,0,3800000,1
3422.5,0,0,0,3500000,1
1026.75,0,0,0,1000000,1
2738.0,0,0,0,4200000,1
43808.0,0,0,0,6000000,3
1882.375,2,1,1,20000,1
2053.5,0,0,0,2100000,1
1000.0,2,2,0,32000,1
1540.125,0,0,0,3500000,1
3080.25,7,7,3,75000,0
3422.5,1,1,1,30000,1
9925.25,0,0,0,8500000,1
1711.25,0,0,0,2450000,1
5476.0,0,0,0,5700000,1
310.0,0,1,0,20000,1
320.0,0,1,0,65000,1
3080.25,0,0,0,2500000,1
3080.25,0,0,2,35000,1
21904.0,0,0,0,4000000,1
7187.25,6,7,6,250000,0
1369.0,0,0,0,5700000,1
1711.25,0,0,0,3000000,1
850.0,0,2,5,60000,0
4107.0,0,0,0,5500000,1
2395.75,0,0,0,7000000,1
1085.0,2,2,1,25000,1
500.0,0,0,4,30000,1
3679.1875,0,0,0,550000,1
1400.0,0,0,0,115000,1
1400.0,0,0,0,35000000,1
8556.25,0,0,0,1900000,1
27380.0,5,4,11,600000,5
1711.25,0,0,0,3000000,1
1583.0,3,3,1,23000000,0
1514.0,3,2,1,80000,1
2369.25,0,0,0,700000,1
2053.5,2,2,2,35000,1
900.0,0,1,1,290000,1
1711.25,3,4,2,150000,0
3336.9375,0,0,0,11000000,1
342.25,0,0,0,55000,1
5476.0,0,0,0,55000,1
3422.5,0,0,0,11000000,1
4107.0,0,0,0,20000,1
1369.0,0,0,0,3500000,1
1200.0,3,2,1,16500000,1
1369.0,4,3,2,60000,0
1369.0,4,3,2,70000,0
3422.5,5,4,4,120000,0
8898.5,0,0,0,10000000,1
5476.0,0,0,0,3500000,1
1369.0,0,0,0,2400000,1
3914.484375,0,0,0,2200000,1
8214.0,0,0,0,275000,1
2652.4375,0,0,0,3000000,1
2053.5,0,0,1,70000,1
342.25,0,0,0,3500000,1
342.25,0,0,0,760000,1
855.625,0,0,0,7000000,1
3935.875,0,0,0,2500000,1
2738.0,0,0,0,6000000,1
1026.75,0,3,1,24500000,1
5818.25,0,0,0,2850000,1
3935.875,0,0,0,2500000,1
8214.0,0,0,0,40000,1
10952.0,0,0,0,2600000,1
1026.75,5,3,1,17000000,0
2909.125,2,1,1,15000,1
1796.8125,0,0,0,2850000,1
16428.0,0,0,0,4000000,1
1822.5,0,0,0,250000,1
4663.15625,0,0,1,15000000,1
2369.25,0,0,0,235000,1
1500.0,4,3,1,40000,0
6160.5,0,0,0,5500000,1
3422.5,6,4,2,200000,0
2481.3125,0,0,0,1150000,1
5903.8125,6,2,2,30000,0
3422.5,3,2,1,40000,1
8556.25,5,4,4,200000,0
49284.0,0,0,0,300000,3
4449.25,0,0,0,4200000,1
1500.0,0,0,0,3500000,1
683.0,2,1,0,11900000,1
1882.375,6,6,1,28500000,0
1197.875,0,0,1,21500000,1
1197.875,2,1,0,20000,1
1369.0,0,0,0,3000000,1
1711.25,3,1,1,12500000,1
1540.125,11,0,1,32500000,0
1369.0,5,3,1,22000000,0
1369.0,3,4,1,11000000,0
1060.975,0,2,1,17000000,1
1454.5625,0,0,0,3000000,1
941.1875,2,1,2,11000000,1
1711.25,0,0,0,900000,1
2738.0,0,0,0,15000000,1
1026.75,4,2,1,13000000,0
